function,basic_block,group,count,weight,cost,pct
sum_array,FUNCTION_TOTAL,Arithmetic,2,1,2.00,3.03
sum_array,FUNCTION_TOTAL,Memory,19,3.00,57.00,86.36
sum_array,FUNCTION_TOTAL,ControlFlow,5,1.00,5.00,7.58
sum_array,FUNCTION_TOTAL,Call,0,5.00,0.00,0.00
sum_array,FUNCTION_TOTAL,Cast,1,1.00,1.00,1.52
sum_array,FUNCTION_TOTAL,Comparison,1,1.00,1.00,1.52
sum_array,FUNCTION_TOTAL,Other,0,1.00,0.00,0.00
sum_array,BB0,Arithmetic,0,1.00,0.00,0.00
sum_array,BB0,Memory,8,3.00,24.00,36.36
sum_array,BB0,ControlFlow,1,1.00,1.00,1.52
sum_array,BB0,Call,0,5.00,0.00,0.00
sum_array,BB0,Cast,0,1.00,0.00,0.00
sum_array,BB0,Comparison,0,1.00,0.00,0.00
sum_array,BB0,Other,0,1.00,0.00,0.00
sum_array,BB1,Arithmetic,0,1.00,0.00,0.00
sum_array,BB1,Memory,2,3.00,6.00,9.09
sum_array,BB1,ControlFlow,1,1.00,1.00,1.52
sum_array,BB1,Call,0,5.00,0.00,0.00
sum_array,BB1,Cast,0,1.00,0.00,0.00
sum_array,BB1,Comparison,1,1.00,1.00,1.52
sum_array,BB1,Other,0,1.00,0.00,0.00
sum_array,BB2,Arithmetic,1,1.00,1.00,1.52
sum_array,BB2,Memory,6,3.00,18.00,27.27
sum_array,BB2,ControlFlow,1,1.00,1.00,1.52
sum_array,BB2,Call,0,5.00,0.00,0.00
sum_array,BB2,Cast,1,1.00,1.00,1.52
sum_array,BB2,Comparison,0,1.00,0.00,0.00
sum_array,BB2,Other,0,1.00,0.00,0.00
sum_array,BB3,Arithmetic,1,1.00,1.00,1.52
sum_array,BB3,Memory,2,3.00,6.00,9.09
sum_array,BB3,ControlFlow,1,1.00,1.00,1.52
sum_array,BB3,Call,0,5.00,0.00,0.00
sum_array,BB3,Cast,0,1.00,0.00,0.00
sum_array,BB3,Comparison,0,1.00,0.00,0.00
sum_array,BB3,Other,0,1.00,0.00,0.00
sum_array,BB4,Arithmetic,0,1.00,0.00,0.00
sum_array,BB4,Memory,1,3.00,3.00,4.55
sum_array,BB4,ControlFlow,1,1.00,1.00,1.52
sum_array,BB4,Call,0,5.00,0.00,0.00
sum_array,BB4,Cast,0,1.00,0.00,0.00
sum_array,BB4,Comparison,0,1.00,0.00,0.00
sum_array,BB4,Other,0,1.00,0.00,0.00
factorial,FUNCTION_TOTAL,Arithmetic,2,1.00,2.00,5.00
factorial,FUNCTION_TOTAL,Memory,9,3.00,27.00,67.50
factorial,FUNCTION_TOTAL,ControlFlow,4,1.00,4.00,10.00
factorial,FUNCTION_TOTAL,Call,1,5.00,5.00,12.50
factorial,FUNCTION_TOTAL,Cast,1,1.00,1.00,2.50
factorial,FUNCTION_TOTAL,Comparison,1,1.00,1.00,2.50
factorial,FUNCTION_TOTAL,Other,0,1.00,0.00,0.00
factorial,BB0,Arithmetic,0,1.00,0.00,0.00
factorial,BB0,Memory,4,3.00,12.00,30.00
factorial,BB0,ControlFlow,1,1.00,1.00,2.50
factorial,BB0,Call,0,5.00,0.00,0.00
factorial,BB0,Cast,0,1.00,0.00,0.00
factorial,BB0,Comparison,1,1.00,1.00,2.50
factorial,BB0,Other,0,1.00,0.00,0.00
factorial,BB1,Arithmetic,0,1.00,0.00,0.00
factorial,BB1,Memory,1,3.00,3.00,7.50
factorial,BB1,ControlFlow,1,1.00,1.00,2.50
factorial,BB1,Call,0,5.00,0.00,0.00
factorial,BB1,Cast,0,1.00,0.00,0.00
factorial,BB1,Comparison,0,1.00,0.00,0.00
factorial,BB1,Other,0,1.00,0.00,0.00
factorial,BB2,Arithmetic,2,1.00,2.00,5.00
factorial,BB2,Memory,3,3.00,9.00,22.50
factorial,BB2,ControlFlow,1,1.00,1.00,2.50
factorial,BB2,Call,1,5.00,5.00,12.50
factorial,BB2,Cast,1,1.00,1.00,2.50
factorial,BB2,Comparison,0,1.00,0.00,0.00
factorial,BB2,Other,0,1.00,0.00,0.00
factorial,BB3,Arithmetic,0,1.00,0.00,0.00
factorial,BB3,Memory,1,3.00,3.00,7.50
factorial,BB3,ControlFlow,1,1.00,1.00,2.50
factorial,BB3,Call,0,5.00,0.00,0.00
factorial,BB3,Cast,0,1.00,0.00,0.00
factorial,BB3,Comparison,0,1.00,0.00,0.00
factorial,BB3,Other,0,1.00,0.00,0.00
compute,FUNCTION_TOTAL,Arithmetic,6,1.00,6.00,4.41
compute,FUNCTION_TOTAL,Memory,38,3.00,114.00,83.82
compute,FUNCTION_TOTAL,ControlFlow,11,1.00,11.00,8.09
compute,FUNCTION_TOTAL,Call,0,5.00,0.00,0.00
compute,FUNCTION_TOTAL,Cast,2,1.00,2.00,1.47
compute,FUNCTION_TOTAL,Comparison,3,1.00,3.00,2.21
compute,FUNCTION_TOTAL,Other,0,1.00,0.00,0.00
compute,BB0,Arithmetic,0,1.00,0.00,0.00
compute,BB0,Memory,12,3.00,36.00,26.47
compute,BB0,ControlFlow,1,1.00,1.00,0.74
compute,BB0,Call,0,5.00,0.00,0.00
compute,BB0,Cast,0,1.00,0.00,0.00
compute,BB0,Comparison,0,1.00,0.00,0.00
compute,BB0,Other,0,1.00,0.00,0.00
compute,BB1,Arithmetic,0,1.00,0.00,0.00
compute,BB1,Memory,2,3.00,6.00,4.41
compute,BB1,ControlFlow,1,1.00,1.00,0.74
compute,BB1,Call,0,5.00,0.00,0.00
compute,BB1,Cast,0,1.00,0.00,0.00
compute,BB1,Comparison,1,1.00,1.00,0.74
compute,BB1,Other,0,1.00,0.00,0.00
compute,BB2,Arithmetic,0,1.00,0.00,0.00
compute,BB2,Memory,1,3.00,3.00,2.21
compute,BB2,ControlFlow,1,1.00,1.00,0.74
compute,BB2,Call,0,5.00,0.00,0.00
compute,BB2,Cast,0,1.00,0.00,0.00
compute,BB2,Comparison,0,1.00,0.00,0.00
compute,BB2,Other,0,1.00,0.00,0.00
compute,BB3,Arithmetic,0,1.00,0.00,0.00
compute,BB3,Memory,2,3.00,6.00,4.41
compute,BB3,ControlFlow,1,1.00,1.00,0.74
compute,BB3,Call,0,5.00,0.00,0.00
compute,BB3,Cast,0,1.00,0.00,0.00
compute,BB3,Comparison,1,1.00,1.00,0.74
compute,BB3,Other,0,1.00,0.00,0.00
compute,BB4,Arithmetic,3,1.00,3.00,2.21
compute,BB4,Memory,14,3.00,42.00,30.88
compute,BB4,ControlFlow,1,1.00,1.00,0.74
compute,BB4,Call,0,5.00,0.00,0.00
compute,BB4,Cast,2,1.00,2.00,1.47
compute,BB4,Comparison,1,1.00,1.00,0.74
compute,BB4,Other,0,1.00,0.00,0.00
compute,BB5,Arithmetic,1,1.00,1.00,0.74
compute,BB5,Memory,2,3.00,6.00,4.41
compute,BB5,ControlFlow,1,1.00,1.00,0.74
compute,BB5,Call,0,5.00,0.00,0.00
compute,BB5,Cast,0,1.00,0.00,0.00
compute,BB5,Comparison,0,1.00,0.00,0.00
compute,BB5,Other,0,1.00,0.00,0.00
compute,BB6,Arithmetic,0,1.00,0.00,0.00
compute,BB6,Memory,0,3.00,0.00,0.00
compute,BB6,ControlFlow,1,1.00,1.00,0.74
compute,BB6,Call,0,5.00,0.00,0.00
compute,BB6,Cast,0,1.00,0.00,0.00
compute,BB6,Comparison,0,1.00,0.00,0.00
compute,BB6,Other,0,1.00,0.00,0.00
compute,BB7,Arithmetic,1,1.00,1.00,0.74
compute,BB7,Memory,2,3.00,6.00,4.41
compute,BB7,ControlFlow,1,1.00,1.00,0.74
compute,BB7,Call,0,5.00,0.00,0.00
compute,BB7,Cast,0,1.00,0.00,0.00
compute,BB7,Comparison,0,1.00,0.00,0.00
compute,BB7,Other,0,1.00,0.00,0.00
compute,BB8,Arithmetic,0,1.00,0.00,0.00
compute,BB8,Memory,0,3.00,0.00,0.00
compute,BB8,ControlFlow,1,1.00,1.00,0.74
compute,BB8,Call,0,5.00,0.00,0.00
compute,BB8,Cast,0,1.00,0.00,0.00
compute,BB8,Comparison,0,1.00,0.00,0.00
compute,BB8,Other,0,1.00,0.00,0.00
compute,BB9,Arithmetic,1,1.00,1.00,0.74
compute,BB9,Memory,2,3.00,6.00,4.41
compute,BB9,ControlFlow,1,1.00,1.00,0.74
compute,BB9,Call,0,5.00,0.00,0.00
compute,BB9,Cast,0,1.00,0.00,0.00
compute,BB9,Comparison,0,1.00,0.00,0.00
compute,BB9,Other,0,1.00,0.00,0.00
compute,BB10,Arithmetic,0,1.00,0.00,0.00
compute,BB10,Memory,1,3.00,3.00,2.21
compute,BB10,ControlFlow,1,1.00,1.00,0.74
compute,BB10,Call,0,5.00,0.00,0.00
compute,BB10,Cast,0,1.00,0.00,0.00
compute,BB10,Comparison,0,1.00,0.00,0.00
compute,BB10,Other,0,1.00,0.00,0.00
classify_value,FUNCTION_TOTAL,Arithmetic,0,1.00,0.00,0.00
classify_value,FUNCTION_TOTAL,Memory,14,3.00,42.00,73.68
classify_value,FUNCTION_TOTAL,ControlFlow,10,1.00,10.00,17.54
classify_value,FUNCTION_TOTAL,Call,0,5.00,0.00,0.00
classify_value,FUNCTION_TOTAL,Cast,2,1.00,2.00,3.51
classify_value,FUNCTION_TOTAL,Comparison,3,1.00,3.00,5.26
classify_value,FUNCTION_TOTAL,Other,0,1.00,0.00,0.00
classify_value,BB0,Arithmetic,0,1.00,0.00,0.00
classify_value,BB0,Memory,5,3.00,15.00,26.32
classify_value,BB0,ControlFlow,1,1.00,1.00,1.75
classify_value,BB0,Call,0,5.00,0.00,0.00
classify_value,BB0,Cast,0,1.00,0.00,0.00
classify_value,BB0,Comparison,1,1.00,1.00,1.75
classify_value,BB0,Other,0,1.00,0.00,0.00
classify_value,BB1,Arithmetic,0,1.00,0.00,0.00
classify_value,BB1,Memory,1,3.00,3.00,5.26
classify_value,BB1,ControlFlow,1,1.00,1.00,1.75
classify_value,BB1,Call,0,5.00,0.00,0.00
classify_value,BB1,Cast,0,1.00,0.00,0.00
classify_value,BB1,Comparison,0,1.00,0.00,0.00
classify_value,BB1,Other,0,1.00,0.00,0.00
classify_value,BB2,Arithmetic,0,1.00,0.00,0.00
classify_value,BB2,Memory,1,3.00,3.00,5.26
classify_value,BB2,ControlFlow,1,1.00,1.00,1.75
classify_value,BB2,Call,0,5.00,0.00,0.00
classify_value,BB2,Cast,0,1.00,0.00,0.00
classify_value,BB2,Comparison,1,1.00,1.00,1.75
classify_value,BB2,Other,0,1.00,0.00,0.00
classify_value,BB3,Arithmetic,0,1.00,0.00,0.00
classify_value,BB3,Memory,1,3.00,3.00,5.26
classify_value,BB3,ControlFlow,1,1.00,1.00,1.75
classify_value,BB3,Call,0,5.00,0.00,0.00
classify_value,BB3,Cast,0,1.00,0.00,0.00
classify_value,BB3,Comparison,0,1.00,0.00,0.00
classify_value,BB3,Other,0,1.00,0.00,0.00
classify_value,BB4,Arithmetic,0,1.00,0.00,0.00
classify_value,BB4,Memory,1,3.00,3.00,5.26
classify_value,BB4,ControlFlow,1,1.00,1.00,1.75
classify_value,BB4,Call,0,5.00,0.00,0.00
classify_value,BB4,Cast,0,1.00,0.00,0.00
classify_value,BB4,Comparison,1,1.00,1.00,1.75
classify_value,BB4,Other,0,1.00,0.00,0.00
classify_value,BB5,Arithmetic,0,1.00,0.00,0.00
classify_value,BB5,Memory,1,3.00,3.00,5.26
classify_value,BB5,ControlFlow,1,1.00,1.00,1.75
classify_value,BB5,Call,0,5.00,0.00,0.00
classify_value,BB5,Cast,0,1.00,0.00,0.00
classify_value,BB5,Comparison,0,1.00,0.00,0.00
classify_value,BB5,Other,0,1.00,0.00,0.00
classify_value,BB6,Arithmetic,0,1.00,0.00,0.00
classify_value,BB6,Memory,1,3.00,3.00,5.26
classify_value,BB6,ControlFlow,1,1.00,1.00,1.75
classify_value,BB6,Call,0,5.00,0.00,0.00
classify_value,BB6,Cast,0,1.00,0.00,0.00
classify_value,BB6,Comparison,0,1.00,0.00,0.00
classify_value,BB6,Other,0,1.00,0.00,0.00
classify_value,BB7,Arithmetic,0,1.00,0.00,0.00
classify_value,BB7,Memory,0,3.00,0.00,0.00
classify_value,BB7,ControlFlow,1,1.00,1.00,1.75
classify_value,BB7,Call,0,5.00,0.00,0.00
classify_value,BB7,Cast,0,1.00,0.00,0.00
classify_value,BB7,Comparison,0,1.00,0.00,0.00
classify_value,BB7,Other,0,1.00,0.00,0.00
classify_value,BB8,Arithmetic,0,1.00,0.00,0.00
classify_value,BB8,Memory,0,3.00,0.00,0.00
classify_value,BB8,ControlFlow,1,1.00,1.00,1.75
classify_value,BB8,Call,0,5.00,0.00,0.00
classify_value,BB8,Cast,0,1.00,0.00,0.00
classify_value,BB8,Comparison,0,1.00,0.00,0.00
classify_value,BB8,Other,0,1.00,0.00,0.00
classify_value,BB9,Arithmetic,0,1.00,0.00,0.00
classify_value,BB9,Memory,3,3.00,9.00,15.79
classify_value,BB9,ControlFlow,1,1.00,1.00,1.75
classify_value,BB9,Call,0,5.00,0.00,0.00
classify_value,BB9,Cast,2,1.00,2.00,3.51
classify_value,BB9,Comparison,0,1.00,0.00,0.00
classify_value,BB9,Other,0,1.00,0.00,0.00
