function,basic_block,group,count,weight,cost,pct
sum_array,FUNCTION_TOTAL,Arithmetic,19,1,19.00,12.93
sum_array,FUNCTION_TOTAL,Memory,22,3.00,66.00,44.90
sum_array,FUNCTION_TOTAL,ControlFlow,11,1.00,11.00,7.48
sum_array,FUNCTION_TOTAL,Call,1,5.00,5.00,3.40
sum_array,FUNCTION_TOTAL,Cast,11,1.00,11.00,7.48
sum_array,FUNCTION_TOTAL,Comparison,8,1.00,8.00,5.44
sum_array,FUNCTION_TOTAL,Other,27,1.00,27.00,18.37
sum_array,BB0,Arithmetic,0,1.00,0.00,0.00
sum_array,BB0,Memory,0,3.00,0.00,0.00
sum_array,BB0,ControlFlow,1,1.00,1.00,0.68
sum_array,BB0,Call,0,5.00,0.00,0.00
sum_array,BB0,Cast,0,1.00,0.00,0.00
sum_array,BB0,Comparison,1,1.00,1.00,0.68
sum_array,BB0,Other,0,1.00,0.00,0.00
sum_array,BB1,Arithmetic,0,1.00,0.00,0.00
sum_array,BB1,Memory,0,3.00,0.00,0.00
sum_array,BB1,ControlFlow,1,1.00,1.00,0.68
sum_array,BB1,Call,0,5.00,0.00,0.00
sum_array,BB1,Cast,1,1.00,1.00,0.68
sum_array,BB1,Comparison,1,1.00,1.00,0.68
sum_array,BB1,Other,0,1.00,0.00,0.00
sum_array,BB2,Arithmetic,2,1.00,2.00,1.36
sum_array,BB2,Memory,0,3.00,0.00,0.00
sum_array,BB2,ControlFlow,1,1.00,1.00,0.68
sum_array,BB2,Call,0,5.00,0.00,0.00
sum_array,BB2,Cast,0,1.00,0.00,0.00
sum_array,BB2,Comparison,1,1.00,1.00,0.68
sum_array,BB2,Other,3,1.00,3.00,2.04
sum_array,BB3,Arithmetic,0,1.00,0.00,0.00
sum_array,BB3,Memory,0,3.00,0.00,0.00
sum_array,BB3,ControlFlow,1,1.00,1.00,0.68
sum_array,BB3,Call,0,5.00,0.00,0.00
sum_array,BB3,Cast,0,1.00,0.00,0.00
sum_array,BB3,Comparison,0,1.00,0.00,0.00
sum_array,BB3,Other,1,1.00,1.00,0.68
sum_array,BB4,Arithmetic,10,1.00,10.00,6.80
sum_array,BB4,Memory,16,3.00,48.00,32.65
sum_array,BB4,ControlFlow,1,1.00,1.00,0.68
sum_array,BB4,Call,0,5.00,0.00,0.00
sum_array,BB4,Cast,8,1.00,8.00,5.44
sum_array,BB4,Comparison,1,1.00,1.00,0.68
sum_array,BB4,Other,7,1.00,7.00,4.76
sum_array,BB5,Arithmetic,0,1.00,0.00,0.00
sum_array,BB5,Memory,0,3.00,0.00,0.00
sum_array,BB5,ControlFlow,1,1.00,1.00,0.68
sum_array,BB5,Call,0,5.00,0.00,0.00
sum_array,BB5,Cast,0,1.00,0.00,0.00
sum_array,BB5,Comparison,1,1.00,1.00,0.68
sum_array,BB5,Other,5,1.00,5.00,3.40
sum_array,BB6,Arithmetic,4,1.00,4.00,2.72
sum_array,BB6,Memory,4,3.00,12.00,8.16
sum_array,BB6,ControlFlow,1,1.00,1.00,0.68
sum_array,BB6,Call,0,5.00,0.00,0.00
sum_array,BB6,Cast,2,1.00,2.00,1.36
sum_array,BB6,Comparison,1,1.00,1.00,0.68
sum_array,BB6,Other,4,1.00,4.00,2.72
sum_array,BB7,Arithmetic,1,1.00,1.00,0.68
sum_array,BB7,Memory,0,3.00,0.00,0.00
sum_array,BB7,ControlFlow,1,1.00,1.00,0.68
sum_array,BB7,Call,1,5.00,5.00,3.40
sum_array,BB7,Cast,0,1.00,0.00,0.00
sum_array,BB7,Comparison,1,1.00,1.00,0.68
sum_array,BB7,Other,2,1.00,2.00,1.36
sum_array,BB8,Arithmetic,0,1.00,0.00,0.00
sum_array,BB8,Memory,0,3.00,0.00,0.00
sum_array,BB8,ControlFlow,1,1.00,1.00,0.68
sum_array,BB8,Call,0,5.00,0.00,0.00
sum_array,BB8,Cast,0,1.00,0.00,0.00
sum_array,BB8,Comparison,0,1.00,0.00,0.00
sum_array,BB8,Other,2,1.00,2.00,1.36
sum_array,BB9,Arithmetic,0,1.00,0.00,0.00
sum_array,BB9,Memory,0,3.00,0.00,0.00
sum_array,BB9,ControlFlow,1,1.00,1.00,0.68
sum_array,BB9,Call,0,5.00,0.00,0.00
sum_array,BB9,Cast,0,1.00,0.00,0.00
sum_array,BB9,Comparison,0,1.00,0.00,0.00
sum_array,BB9,Other,1,1.00,1.00,0.68
sum_array,BB10,Arithmetic,2,1.00,2.00,1.36
sum_array,BB10,Memory,2,3.00,6.00,4.08
sum_array,BB10,ControlFlow,1,1.00,1.00,0.68
sum_array,BB10,Call,0,5.00,0.00,0.00
sum_array,BB10,Cast,0,1.00,0.00,0.00
sum_array,BB10,Comparison,1,1.00,1.00,0.68
sum_array,BB10,Other,2,1.00,2.00,1.36
factorial,FUNCTION_TOTAL,Arithmetic,2,1.00,2.00,16.67
